data.HuGene.2_0.v1.091906_4905_Pool1_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool2_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool3_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool4_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool5_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool6_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool7_a.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_c.CEL
1654	921.095	783.143	584.952	843.048	951.69	741.381	1469.48	925.238	897.524	828.952	843.381	968.952	678.905	752.81	753.048	638.286	697.667	854.905	620.714	1012.1	1246.52
1655	348.905	249.143	176.429	104	153.81	48.2857	492.905	381.952	334.143	164.714	257.762	159.19	175.143	79.4762	97.1905	56.7143	81.9524	74.9524	129.762	564.524	501.048
1656	394.429	214.143	200	106.571	108.143	117.667	461.238	393.19	344.524	252.095	204.905	149.238	163.667	89.4286	75.2857	107.19	77.619	115.333	80.619	508.048	546
1657	328.667	227.571	133.429	117.095	81	82.619	507.143	258.667	376.619	280.333	201.81	124.619	156.571	133.429	122.619	116.333	113.381	115.333	108.429	386.143	397.095
1658	173.429	117.238	106.286	151.429	125.286	103.81	217.095	211.429	216.095	124.905	84.1429	141.81	117.143	83.9048	135.286	49.4762	132.333	142.762	81.6667	213.143	141.095
1659	230.429	124.571	130	118.667	98.0952	139.952	307.524	177	194.667	128.714	130.81	129.571	118	99.4762	116.857	115.333	96.7619	98	111.619	352.714	210.762
1660	291.476	102.952	112.762	132.476	108.81	94.8571	272.905	224.048	193.667	132.619	96.9524	109.857	127.19	121.952	46.2381	70.381	142.571	122.333	99	224.619	201
1661	198.952	102.952	79.1429	74.9524	64	78.1905	168.762	167.857	201.905	184.333	137.333	98.5238	123.476	89.4286	118	55.5714	95.8571	94	65	274.143	296.762
1662	241.048	208.905	164.476	121.286	141.095	124.048	177.952	231.333	319.619	198.429	276.048	186.476	205.333	120.762	156.095	123.619	127.19	106.095	162.81	275.857	440.095
1663	362.524	314.524	313.81	263.476	363.667	273	240.857	374.524	364.143	211.19	263.238	320.667	329.524	227.524	297.048	243	271.524	239.762	293.095	345.714	368.19
1664	342.476	344.762	239.429	324.476	261.381	197.571	304.333	300	243.952	292.952	352.19	301.095	266.619	289.952	224.19	259.857	264.714	167.095	324.476	496.905	568.905
